
Predictions were generated on 29-Mar-2023 at 14:16:45 using OpenFAST, compiled as a 64-bit application using single precision at commit v2.5.0
 linked with  NWTC Subroutine Library; ElastoDyn; ServoDyn; HydroDyn; MAP++ (<1.20.10>, <Jan-14-2021>)

Description from the FAST input file: FAST Certification Test #25: NREL 5.0 MW Baseline Wind Turbine with OC4-DeepCwind semi configuration, for use in offshore analysis

Time	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	YawBrMzp	TTDspFA	Wave1Elev	T[1]	T_a[1]	T[2]	T_a[2]	T[3]	T_a[3]
(s)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(kN-m)	(m)	(m)	[N]	[N]	[N]	[N]	[N]	[N]
    0.0500	-1.313E-06	 2.111E-08	 5.999E+00	-4.311E-08	-2.567E-06	-8.680E-08	-8.359E+01	-2.419E-04	 0.000E+00	 1.202E+06	 7.784E+05	 1.202E+06	 7.784E+05	 1.202E+06	 7.784E+05
    0.1000	-1.535E-06	 1.516E-07	 5.996E+00	-2.957E-07	-2.446E-06	-7.672E-07	-2.935E+01	-9.747E-04	 0.000E+00	 1.202E+06	 7.784E+05	 1.202E+06	 7.784E+05	 1.202E+06	 7.784E+05
    0.1500	 5.873E-06	 3.415E-07	 5.991E+00	-5.930E-07	 1.414E-05	-1.646E-06	 7.001E+01	-2.174E-03	 0.000E+00	 1.202E+06	 7.783E+05	 1.202E+06	 7.783E+05	 1.202E+06	 7.783E+05
    0.2000	 2.169E-05	 5.170E-07	 5.984E+00	-6.356E-07	 4.836E-05	-2.121E-06	-6.882E+01	-3.717E-03	 0.000E+00	 1.202E+06	 7.781E+05	 1.202E+06	 7.781E+05	 1.202E+06	 7.781E+05
    0.2500	 4.011E-05	 6.056E-07	 5.975E+00	-1.394E-08	 8.685E-05	-3.202E-06	-2.409E+02	-5.415E-03	 0.000E+00	 1.202E+06	 7.779E+05	 1.202E+06	 7.779E+05	 1.202E+06	 7.779E+05
    0.3000	 5.649E-05	-1.771E-07	 5.964E+00	 3.280E-06	 1.186E-04	-6.248E-06	-3.577E+02	-7.138E-03	 0.000E+00	 1.202E+06	 7.777E+05	 1.202E+06	 7.777E+05	 1.202E+06	 7.777E+05
    0.3500	 7.322E-05	-3.098E-06	 5.951E+00	 1.233E-05	 1.477E-04	-1.236E-05	-5.724E+02	-8.898E-03	 0.000E+00	 1.201E+06	 7.774E+05	 1.201E+06	 7.774E+05	 1.201E+06	 7.774E+05
    0.4000	 9.570E-05	-9.009E-06	 5.936E+00	 2.928E-05	 1.847E-04	-2.324E-05	-7.477E+02	-1.077E-02	 0.000E+00	 1.201E+06	 7.771E+05	 1.201E+06	 7.771E+05	 1.201E+06	 7.771E+05
    0.4500	 1.240E-04	-1.844E-05	 5.919E+00	 5.545E-05	 2.285E-04	-4.024E-05	-7.588E+02	-1.278E-02	 0.000E+00	 1.201E+06	 7.767E+05	 1.201E+06	 7.767E+05	 1.201E+06	 7.767E+05
    0.5000	 1.508E-04	-3.159E-05	 5.901E+00	 9.114E-05	 2.624E-04	-6.354E-05	-7.326E+02	-1.483E-02	 0.000E+00	 1.201E+06	 7.763E+05	 1.201E+06	 7.763E+05	 1.201E+06	 7.763E+05
    0.5500	 1.693E-04	-4.760E-05	 5.880E+00	 1.342E-04	 2.696E-04	-9.291E-05	-6.428E+02	-1.674E-02	 0.000E+00	 1.200E+06	 7.758E+05	 1.200E+06	 7.759E+05	 1.200E+06	 7.758E+05
